Final f1 Score : ,0.38023817548590044
Date results: ,"{'precision': 0.13846153846153847, 'recall': 0.42857142857142855, 'f_score': 0.20930232558139533}"
Final precison Score : ,0.4539010989010989
Final recall Score : ,0.46697010616502144
Final f1 Score : ,0.3375042130097742
Date results: ,"{'precision': 0.0, 'recall': 0.0, 'f_score': 0}"
Final precison Score : ,0.36312087912087915
Final recall Score : ,0.3735760849320171
Final f1 Score : ,0.27000337040781935
Date results: ,"{'precision': 0.46303501945525294, 'recall': 0.7677419354838709, 'f_score': 0.5776699029126214}"
Final precison Score : ,0.37977323584327477
Final recall Score : ,0.4392703933573261
Final f1 Score : ,0.32128112582528634
Date results: ,"{'precision': 0.20398009950248755, 'recall': 0.6949152542372882, 'f_score': 0.31538461538461543}"
Final precison Score : ,0.35465993065173373
Final recall Score : ,0.47579108776874923
Final f1 Score : ,0.3204387671909048
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.3540167597086165
Final recall Score : ,0.5347382544292345
Final f1 Score : ,0.34421370852608424
Date results: ,"{'precision': 0.18095238095238095, 'recall': 0.8837209302325582, 'f_score': 0.30039525691699603}"
Final precison Score : ,0.33478738429125704
Final recall Score : ,0.5735141072962705
Final f1 Score : ,0.33934499168063004
Date results: ,"{'precision': 0.6133333333333333, 'recall': 0.7796610169491526, 'f_score': 0.6865671641791045}"
Final precison Score : ,0.6133333333333333
Final recall Score : ,0.7796610169491526
Final f1 Score : ,0.6865671641791045
Date results: ,"{'precision': 1.0, 'recall': 1.0, 'f_score': 1.0}"
Final precison Score : ,0.8066666666666666
Final recall Score : ,0.8898305084745763
Final f1 Score : ,0.8432835820895522
Date results: ,"{'precision': 0.32, 'recall': 0.7384615384615385, 'f_score': 0.44651162790697674}"
Final precison Score : ,0.6444444444444444
Final recall Score : ,0.839374185136897
Final f1 Score : ,0.7110262640286937
Date results: ,"{'precision': 0.22093023255813954, 'recall': 0.9047619047619048, 'f_score': 0.35514018691588783}"
Final precison Score : ,0.5385658914728682
Final recall Score : ,0.855721115043149
Final f1 Score : ,0.6220547447504923
Date results: ,"{'precision': 0.55, 'recall': 1.0, 'f_score': 0.7096774193548387}"
Final precison Score : ,0.5408527131782945
Final recall Score : ,0.8845768920345192
Final f1 Score : ,0.6395792796713615
Date results: ,"{'precision': 0.5133333333333333, 'recall': 0.4967741935483871, 'f_score': 0.5049180327868853}"
Final precison Score : ,0.536266149870801
Final recall Score : ,0.8199431089534972
Final f1 Score : ,0.6171357385239489
Date results: ,"{'precision': 0.26, 'recall': 0.6610169491525424, 'f_score': 0.37320574162679426}"
Final precison Score : ,0.49679955703211515
Final recall Score : ,0.797239371839075
Final f1 Score : ,0.5822885961100697
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.4783889327914503
Final recall Score : ,0.8160055029907696
Final f1 Score : ,0.5733323088303535
Date results: ,"{'precision': 0.20666666666666667, 'recall': 0.36046511627906974, 'f_score': 0.2627118644067797}"
Final precison Score : ,0.4481975698886966
Final recall Score : ,0.7653899044672474
Final f1 Score : ,0.5388189261166231
Date results: ,"{'precision': 0.609271523178808, 'recall': 0.7796610169491526, 'f_score': 0.6840148698884758}"
Final precison Score : ,0.609271523178808
Final recall Score : ,0.7796610169491526
Final f1 Score : ,0.6840148698884758
Date results: ,"{'precision': 0.9523809523809523, 'recall': 1.0, 'f_score': 0.975609756097561}"
Final precison Score : ,0.7808262377798801
Final recall Score : ,0.8898305084745763
Final f1 Score : ,0.8298123129930184
Date results: ,"{'precision': 0.31788079470198677, 'recall': 0.7384615384615385, 'f_score': 0.4444444444444445}"
Final precison Score : ,0.626511090087249
Final recall Score : ,0.839374185136897
Final f1 Score : ,0.7013563568101604
Date results: ,"{'precision': 0.21839080459770116, 'recall': 0.9047619047619048, 'f_score': 0.3518518518518519}"
Final precison Score : ,0.5244810187148621
Final recall Score : ,0.855721115043149
Final f1 Score : ,0.6139802305705833
Date results: ,"{'precision': 0.5238095238095238, 'recall': 1.0, 'f_score': 0.6875000000000001}"
Final precison Score : ,0.5243467197337944
Final recall Score : ,0.8845768920345192
Final f1 Score : ,0.6286841844564667
Date results: ,"{'precision': 0.5099337748344371, 'recall': 0.4967741935483871, 'f_score': 0.5032679738562092}"
Final precison Score : ,0.5219445622505682
Final recall Score : ,0.8199431089534972
Final f1 Score : ,0.6077814826897571
Date results: ,"{'precision': 0.2582781456953642, 'recall': 0.6610169491525424, 'f_score': 0.37142857142857144}"
Final precison Score : ,0.4842779313141105
Final recall Score : ,0.797239371839075
Final f1 Score : ,0.5740167810810163
Date results: ,"{'precision': 0.34615384615384615, 'recall': 0.9473684210526315, 'f_score': 0.5070422535211268}"
Final precison Score : ,0.46701242066907744
Final recall Score : ,0.8160055029907696
Final f1 Score : ,0.5656449651360301
